Url,Zestimate,Price,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Full Address,Latitude,Longitude,HOLC_Region,HOLC_Rating
https://www.zillow.com/homedetails/26-Homelands-Ter-Hamden-CT-06517/57911573_zpid/,280108,279900,2,4,1610,SINGLE_FAMILY,26 Homelands Ter,Hamden,6517,CT,USA,26 Homelands Ter Hamden 6517 CT USA ,41.3351946,-72.9225021,C3,C
https://www.zillow.com/homedetails/78-Cherry-Ann-St-Hamden-CT-06514/109722498_zpid/,163356,169000,2,3,1001,SINGLE_FAMILY,78 Cherry Ann St,Hamden,6514,CT,USA,78 Cherry Ann St Hamden 6514 CT USA ,41.3356636,-72.9382248,C3,C
https://www.zillow.com/homedetails/141-Highland-Ave-East-Haven-CT-06513/57904705_zpid/,261750,299997,2,3,1690,SINGLE_FAMILY,141 Highland Ave,East Haven,6513,CT,USA,141 Highland Ave East Haven 6513 CT USA ,41.3261995,-72.8598328,C18,C
https://www.zillow.com/homedetails/349-Strong-St-East-Haven-CT-06512/57907323_zpid/,349902,349900,3,3,1710,SINGLE_FAMILY,349 Strong St,East Haven,6512,CT,USA,349 Strong St East Haven 6512 CT USA ,41.3128745,-72.8573405,C18,C
https://www.zillow.com/homedetails/415-Strong-St-East-Haven-CT-06512/57908875_zpid/,339901,339900,2,3,2553,SINGLE_FAMILY,415 Strong St,East Haven,6512,CT,USA,415 Strong St East Haven 6512 CT USA ,41.3152171,-72.8562327,C18,C
https://www.zillow.com/homedetails/207-Rose-Street-Ext-East-Haven-CT-06513/57901861_zpid/,225085,225000,3,3,2276,SINGLE_FAMILY,207 Rose Street Ext,East Haven,6513,CT,USA,207 Rose Street Ext East Haven 6513 CT USA ,41.3275914,-72.8612174,C18,C
https://www.zillow.com/homedetails/72-Green-St-East-Haven-CT-06512/57909351_zpid/,162238,159900,1,3,1144,SINGLE_FAMILY,72 Green St,East Haven,6512,CT,USA,72 Green St East Haven 6512 CT USA ,41.3213497,-72.8560019,C18,C
https://www.zillow.com/homedetails/284-Russo-Ave-East-Haven-CT-06513/62545371_zpid/,205001,205000,2,4,1101,SINGLE_FAMILY,284 Russo Ave,East Haven,6513,CT,USA,284 Russo Ave East Haven 6513 CT USA ,41.3193273,-72.8663492,C18,C
https://www.zillow.com/homedetails/794-Winchester-Ave-New-Haven-CT-06511/57965368_zpid/,180226,179900,2,3,1120,SINGLE_FAMILY,794 Winchester Ave,New Haven,6511,CT,USA,794 Winchester Ave New Haven 6511 CT USA ,41.3319345,-72.9255937,C5,C
https://www.zillow.com/homedetails/175-Newhall-St-New-Haven-CT-06511/57967262_zpid/,190001,190000,2,3,1254,SINGLE_FAMILY,175 Newhall St,New Haven,6511,CT,USA,175 Newhall St New Haven 6511 CT USA ,41.328581,-72.9285121,C5,C
https://www.zillow.com/homedetails/23-Clark-Ave-North-Haven-CT-06473/174439065_zpid/,441577,449900,3,4,4224,SINGLE_FAMILY,23 Clark Ave,North Haven,6473,CT,USA,23 Clark Ave North Haven 6473 CT USA ,41.351711,-72.8658789,C1,C
https://www.zillow.com/homedetails/52-Montowese-Ave-North-Haven-CT-06473/174449104_zpid/,289901,289900,1,2,1233,SINGLE_FAMILY,52 Montowese Ave,North Haven,6473,CT,USA,52 Montowese Ave North Haven 6473 CT USA ,41.3507196,-72.8628789,C1,C
https://www.zillow.com/homedetails/105-Frost-Dr-North-Haven-CT-06473/174439356_zpid/,246009,224900,1,3,1224,SINGLE_FAMILY,105 Frost Dr,North Haven,6473,CT,USA,105 Frost Dr North Haven 6473 CT USA ,41.3581637,-72.8595558,C1,C
https://www.zillow.com/homedetails/15-Marion-St-West-Haven-CT-06516/58031271_zpid/,230109,229900,3,2,1570,SINGLE_FAMILY,15 Marion St,West Haven,6516,CT,USA,15 Marion St West Haven 6516 CT USA ,41.2679005,-72.935883,C16,C
https://www.zillow.com/homedetails/19-April-St-West-Haven-CT-06516/58031110_zpid/,573294,590000,4,4,3784,SINGLE_FAMILY,19 April St,West Haven,6516,CT,USA,19 April St West Haven 6516 CT USA ,41.2697803,-72.9332069,C16,C
https://www.zillow.com/homedetails/186-Park-St-West-Haven-CT-06516/58028264_zpid/,275012,275000,2,3,1469,SINGLE_FAMILY,186 Park St,West Haven,6516,CT,USA,186 Park St West Haven 6516 CT USA ,41.2607723,-72.9451569,C16,C
https://www.zillow.com/homedetails/61-William-St-West-Haven-CT-06516/58029921_zpid/,195266,189000,2,3,1377,SINGLE_FAMILY,61 William St,West Haven,6516,CT,USA,61 William St West Haven 6516 CT USA ,41.2647414,-72.9419273,C16,C
https://www.zillow.com/homedetails/290-3rd-Ave-West-Haven-CT-06516/58031032_zpid/,250026,247999,2,2,1974,SINGLE_FAMILY,290 3rd Ave,West Haven,6516,CT,USA,290 3rd Ave West Haven 6516 CT USA ,41.2696076,-72.9405892,C16,C
